vocab_id,palabra_nahuatl,traduccion_espanol,variante_nahuatl,categoria,dificultad,imagen_url
P0000,akali,cuartillo,,otras,basico,https://upload.wikimedia.org/wikipedia/commons/b/b7/Museo_Etnol%C3%B3gico_de_Puerto_Seguro_-_Recipientes_de_medida_de_l%C3%ADquidos_1_%2825330227269%29.jpg
P0001,ilhuicatl ,cielo,"iluikak, ilwikat",astronomía y naturaleza,intermedio,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Linden_trees_and_the_sky_in_Planina%2C_Postojna%2C_Slovenia.jpg/640px-Linden_trees_and_the_sky_in_Planina%2C_Postojna%2C_Slovenia.jpg
P0002,metstli,"luna, mes, pierna",,astronomía y naturaleza,intermedio,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Full_Moon_%2852077059496%29.jpg/640px-Full_Moon_%2852077059496%29.jpg
P0003,tonali,dia,,otras,basico,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/GreenwUhrWelt.jpg/640px-GreenwUhrWelt.jpg
P0004,tlaka'tsi,buenos dias,,saludos y tiempo,intermedio,https://live.staticflickr.com/7453/10046762206_cafb0a3987_b.jpg
P0005,tlikonextli,ceniza,,otras,intermedio,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Erupcion_de_ceniza_nevado_kumanday.jpg/640px-Erupcion_de_ceniza_nevado_kumanday.jpg
P0006,yolo’pachiui,paz interior,,otras,intermedio,https://images.unsplash.com/photo-1506126613408-eca07ce68773?q=80&w=799&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
P0007,inin,"éste, ésta",,palabras referenciales,intermedio,https://www.quia.com/files/quia/users/melinaestrada/demostrativos_aquella.jpg
P0008,ini'ke,"éstos, éstas",,salud y enfermedades,intermedio,https://www.quia.com/files/quia/users/melinaestrada/demostrativos_aquella.jpg
P0009,inon,"éso, ése, ésa",,palabras referenciales,intermedio,https://www.quia.com/files/quia/users/melinaestrada/demostrativos_aquella.jpg
P0010,ino'ke',"ésos, ésas",,palabras referenciales,intermedio,https://www.quia.com/files/quia/users/melinaestrada/demostrativos_aquella.jpg
P0011,nepaka',"aquél, aquéllas",,palabras referenciales,intermedio,https://www.quia.com/files/quia/users/melinaestrada/demostrativos_aquella.jpg
P0012,nepakate',"aquéllos, aquéllas",,palabras referenciales,intermedio,https://www.quia.com/files/quia/users/melinaestrada/demostrativos_aquella.jpg
P0013,xokok,agrio,,otras,intermedio,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Lemon.jpg/640px-Lemon.jpg
P0014,paki,alegre,,otras,basico,https://images.unsplash.com/photo-1536551739350-d473d0f5d66a?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
P0015,kujtik,alto,,otras,basico,https://images.unsplash.com/photo-1677230532477-9b031a24c4bc?q=80&w=524&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
P0016,kuali tlakatl,amable,,otras,intermedio,https://images.unsplash.com/photo-1723433892471-62f113c8c9a0?q=80&w=1412&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
